,Project,Month Year,Minutes Saved,Business Case,Total Time Saved (hrs),Tracking Cadence,Tracking Cadence-1,Event Count,Effort,Manual Time (mins),Dev Cost (mins)
0,sn_tableau_ldap,6/1/2022,0.0,,,,,1208.0,sn_tableau_ldap,7.0,0
1,DBA - Redshift Account Deployment,1/1/2022,0.0,,,,,120.0,DBA - Redshift Account Deployment,7.5,0
2,Mail Alias,1/1/2022,0.0,,,,,127.0,Mail Alias,8.0,
3,ggroupMembership,1/1/2022,0.0,,,,,9.0,ggroupmembership,0.0,
4,ggroupMembership,6/1/2022,0.0,,,,,56.0,ggroupmembership,0.0,
5,Rehire Associate Check,6/1/2022,0.0,,,,,13.0,Rehire Associate Check,12.0,1440
6,Tableau LDAP,2/1/2022,0.0,,,,,1014.0,Tableau LDAP,8.0,0
7,LDAP POSIX Group,2/1/2022,0.0,,,,,246.0,LDAP POSIX Group,12.0,
8,FIGS Plus Departed User Email Forwarding,6/1/2022,0.0,,,,,170.0,,0.0,
10,ggroupMembership,2/1/2022,0.0,,,,,13.0,ggroupmembership,0.0,
11,Google Team Drive,1/1/2022,0.0,,,,,49.0,Google Team Drive,15.0,0
12,Mail Alias,7/1/2022,0.0,,,,,62.0,Mail Alias,8.0,
13,Rehire Associate Check,2/1/2022,0.0,,,,,13.0,Rehire Associate Check,12.0,1440
14,Rehire Associate Check,1/1/2022,0.0,,,,,19.0,Rehire Associate Check,12.0,1440
15,Windows AD Account Mgmt,6/1/2022,0.0,,,,,83.0,Windows AD Account Mgmt,0.0,0
16,Rally AM,7/1/2022,0.0,,,,,832.0,Rally AM,0.0,
17,DBA - Redshift Account Deployment,7/1/2022,0.0,,,,,140.0,DBA - Redshift Account Deployment,7.5,0
18,LDAP POSIX Group,6/1/2022,0.0,,,,,170.0,LDAP POSIX Group,12.0,
19,IT Hire Check,1/1/2022,0.0,,,,,88.0,IT Hire Check,5.0,0
20,Google Alias,1/1/2022,0.0,,,,,535.0,,0.0,
21,Alias Delete,2/1/2022,0.0,,,,,141.0,,0.0,
22,Google Alias,6/1/2022,0.0,,,,,54.0,,0.0,
23,RHAM Alias Term,1/1/2022,0.0,,,,,368.0,RHAM Alias Term,4.0,0
24,Google Alias,2/1/2022,0.0,,,,,541.0,,0.0,
25,Mailing Lists,2/1/2022,0.0,,,,,541.0,Mailing Lists,20.0,
26,Tableau API Token Refresher,7/1/2022,0.0,,,,,31.0,Tableau API Token Refresher,7.0,3240
27,ALGE,2/1/2022,0.0,,,,,1.0,ALGE,30.0,
28,Mail Alias,6/1/2022,0.0,,,,,88.0,Mail Alias,8.0,
29,Google Team Drive,6/1/2022,0.0,,,,,34.0,Google Team Drive,15.0,0
30,FIGS Plus Departed User Email Forwarding,7/1/2022,0.0,,,,,191.0,,0.0,
31,Mailing Lists,1/1/2022,0.0,,,,,423.0,Mailing Lists,20.0,
32,Alias Delete,1/1/2022,0.0,,,,,148.0,,0.0,
33,LDAP POSIX Group,7/1/2022,0.0,,,,,152.0,LDAP POSIX Group,12.0,
34,Tableau API Token Refresher,6/1/2022,0.0,,,,,29.0,Tableau API Token Refresher,7.0,3240
35,SmartSheet,7/1/2022,0.0,,,,,63.0,smartsheet,5.0,
36,Windows AD Account Mgmt,7/1/2022,0.0,,,,,56.0,Windows AD Account Mgmt,0.0,0
37,IT Manager Check,1/1/2022,0.0,,,,,1.0,IT Manager Check,5.0,0
39,DBA - Redshift Account Deployment,2/1/2022,0.0,,,,,97.0,DBA - Redshift Account Deployment,7.5,0
40,Google Team Drive,7/1/2022,0.0,,,,,30.0,Google Team Drive,15.0,0
41,Tableau LDAP,1/1/2022,0.0,,,,,803.0,Tableau LDAP,8.0,0
42,Tableau API Token Refresher,2/1/2022,0.0,,,,,21.0,Tableau API Token Refresher,7.0,3240
43,Mailing Lists,7/1/2022,0.0,,,,,103.0,Mailing Lists,20.0,
44,LucidChart,6/1/2022,0.0,,,,,110.0,LucidChart,6.0,
45,Google Alias,7/1/2022,0.0,,,,,53.0,,0.0,
46,ALGE,1/1/2022,0.0,,,,,1.0,ALGE,30.0,
47,sn_tableau_ldap,7/1/2022,0.0,,,,,654.0,sn_tableau_ldap,7.0,0
48,Rehire Associate Check,7/1/2022,0.0,,,,,16.0,Rehire Associate Check,12.0,1440
49,PagerDuty User Management,7/1/2022,0.0,,,,,12.0,PagerDuty User Management,8.0,
50,LDAP POSIX Group,1/1/2022,0.0,,,,,251.0,LDAP POSIX Group,12.0,
51,IT Hire Check,7/1/2022,0.0,,,,,45.0,IT Hire Check,5.0,0
52,Mailing Lists,6/1/2022,0.0,,,,,278.0,Mailing Lists,20.0,
53,LucidChart,7/1/2022,0.0,,,,,96.0,LucidChart,6.0,
54,Google Team Drive,2/1/2022,0.0,,,,,42.0,Google Team Drive,15.0,0
55,Tableau API Token Refresher,1/1/2022,0.0,,,,,31.0,Tableau API Token Refresher,7.0,3240
56,GSS Salesforce Account Create,1/1/2022,0.0,,,,,7.0,GSS Salesforce Account Create,25.0,0
57,Mail Alias,2/1/2022,0.0,,,,,88.0,Mail Alias,8.0,
58,PagerDuty User Management,6/1/2022,0.0,,,,,19.0,PagerDuty User Management,8.0,
59,PagerDuty User Management,2/1/2022,0.0,,,,,17.0,PagerDuty User Management,8.0,
60,Tableau LDAP,6/1/2022,0.0,,,,,1256.0,Tableau LDAP,8.0,0
61,IT Hire Check,6/1/2022,0.0,,,,,85.0,IT Hire Check,5.0,0
62,SmartSheet,6/1/2022,0.0,,,,,63.0,smartsheet,5.0,
63,RHAM Alias Term,7/1/2022,0.0,,,,,311.0,RHAM Alias Term,4.0,0
64,RHAM Alias Term,2/1/2022,0.0,,,,,311.0,RHAM Alias Term,4.0,0
65,ggroupMembership,7/1/2022,0.0,,,,,83.0,ggroupmembership,0.0,
66,Tableau LDAP,7/1/2022,0.0,,,,,679.0,Tableau LDAP,8.0,0
